StockID,StartTimestamp,EndTimestamp,MaxDrawdown
000333,94602670,141718420,2.00
002415,93233790,94930320,1.75
300014,93000020,135935930,3.32
300124,93000300,101448380,2.63
600010,130025250,131605970,0.03
600519,93938310,135423980,44.11
688012,93049860,102040430,7.81
